Text;Sentiment;Kesesuaian
banyak nominal ga sesuai ga ada bpjs kesehatan sama ketenagakerjaan;Netral;
asuransi ga wajib belum tentu ada di slip gaji beda halnya dengan bpjs kesehatan dan naker;Netral;
setiap kalimat kau bilang merdeka tapi buktinya yang namanya merdeka harus demi rakyat tapi ini bpjs kesehatan iurannya semakin naik;Negatif;
jadi mikir andai beli skincare bisa pake bpjs kan itu juga buat kesehatan walaupun muka;Netral;
ini kantor bpjs kesehatan tutup apa buka ya;Netral;
masyarakat mudah mendapatkan pelayanan mata di fasilitas kesehatan tingkat pertama;Positif;
bpjs kesehatan sama ketenagakerjaan kenapa tidak ada padahal manfaatnya bagus;Positif;
bagaimana pendapatmu kementerian keuangan menyatakan penyesuaian iuran bpjs kesehatan berdasarkan peraturan presiden;Netral;
ini kenaikan iuran masih jauh di bawah perhitungan aktuaria;Netral;
karyawan penonaktifan bpjs kesehatan selesai;Netral;
atau bisa subsidi bpjs kesehatan ya;Netral;
pelayanan kesehatan kurang baik bpjs malah naik;Negatif;
hotline semarang bpjs kesehatan buka loket mobile customer service di dispendukcapil;Netral;
menurut pemerintah iuran bpjs kesehatan kelas satu harusnya dua ratus delapan puluh enam ribu rupiah;Netral;
harusnya tidak ada iuran bpjs harusnya kesehatan masyarakat ditanggung pemerintah;Netral;
salam sehat bapak anto mohon maaf pelayanan kesehatan dijaminkan bpjs kesehatan sesuai Indikasi;Netral;
cuma kalau kasus bpjs itu semacam rumah sakit vs bpjs vs rakyat pelayanan bpjs jelek yang disalahin rs;Netral;
bahaya di balik peserta bpjs kesehatan turun kelas karena iuran naik;Netral;
tarif iuran bpjs kesehatan bagi peserta mandiri yang naik sejalan dengan pembenahan sistem pelayanan kesehatan;Netral;
ya emang rokok kan buat orang orang dewasa mba bukan buat anak dan yg jelas pajak rokok bisa nutup iuran bpjs;Netral;
bahaya di balik peserta bpjs kesehatan turun kelas karena iuran naik;Netral;
adanya penyulit dan dirujuk ke rumah sakit sesuai arahan dokter di faskes tingkat pertama seharusnya menjadi pembelajaran untuk bpjs;Negatif;
tolong infonya ka terkait psbb sebuhungan dengan adanya pandemi Jam operasional kantor bpjs;Netral;
menyebut iuran bpjs kesehatan untuk peserta mandiri yang akan berlaku Juli belum sesuai dengan perhitungan biaya;Netral;
kenaikan iuran bpjs pemerintah kembali menaikkan iuran bpjs kesehatan dengan diterbitkannya peraturan presiden;Netral;
tidak heran bpjs aja ga bayar tenaga kesehatan juga ;Negatif;
bpjs pimpin pertemuan internasional bahas jaminan kesehatan ;Netral;
halo sahabat bpjs kesehatan akan mengadakan hackathon untuk kalian para programmer praktisi ti di seluruh Indonesia ;Netral;
pimpin pertemuan virtual internasional bpjs bahas jaminan kesehatan fpgh indonesia ;Netral;
alhamdulillah ya bpjs kesehatan bener membantu warga meski di tengah pandemi begini;Positif;
bukan menjamin tapi dipaksakan sudah ada asuransi kesehatan ditambah dipaksakan bpjs ;Negatif;
miris sekali ketika kesehatan dijadikan bisnis rakyat terus dipalak untuk kepentingan para kapitalis;Negatif;
konsul kesehatan mental bisa pake bpjs kok;Netral;
bpjs yang iurannya tidak seberapa dibandingkan dengan premi asuransi kesehatan lainnya jadi poin plus;Positif;
jamsostek ketenagakerjaan bpjs kesehatan adalagi baru bp tapera pendapatan gak seberapa bayar iuran mulu;Negatif;
jokowi bebani rakyat miskin di tengah covid tak turunkan bbm tapi naikkan bpjs kesehatan cebong sakit ga punya biaya;Negatif;
halo min apakah benar untuk pembayaran peserta mandiri bpjs kesehatan itu harus auto debit ;Netral;
pemprov aceh tanggung iuran bpjs kesehatan dua juta warga;Netral;
bpjs telat bayar sekarang apd gak dibayar namanya doang kementrian kesehatan tapi didalemnya sakit ;Negatif;
bpjs pimpin pertemuan internasional bahas jaminan kesehatan;Netral;
back up asuransi yang basic ya kesehatan minimal bpjs punya Kalau punya rezeki tambah yg swasta biar terjamin;Netral;
karena naiknya iuran bagi org yang berpenghasilan minim tapi sekarang bpjs ada subsidi dari pemerintah untuk yang kurang mampu;Positif;
jadi kesimpulannya adalah ada pro dan kontra naiknya iuran bpjs tapi kembali lagi kesehatan tidak ada yang tau ;Netral;
bermanfaat sekali berkat jkn kis peserta bpjs kesehatan lancar menjalani cuci darah ;Positif;
tahun ini indonesia didaulat menjabat sebagai Ketua fpgh ministerial retreat;Netral;
bpjs kesehatan proses verifikasi klaim rs untuk kasus covid;Netral;
terimakasih bpjs karna telah menanggung semua pengobatan saya Kalau tidak ada bpjs saya tidak tau mau bayar dengan apa;Positif;
tentu saja saya berterimakasih kepada allah karna telah diberi kesehatan tapi saya juga berhak bertanya tentang bpjs;Netral;
tabungan penting banget laki gue punya rekening sampe empat gue cuma dua buat hari buat nabung ;Netral;
ingat hati lu tuh gak ada asuransinya bung kalau lu udah sakit hati gegara cewek lu yg minta referendum tadi;Netral;
tiga anak awalnya udh santai karena ada kis dari suami ternyata ga bisa digunakan walaupun untuk keperluan lahiran anak terus ngurus nya ribet;Negatif;
dengan adanya jkn kis harisomawati salah satu peserta bpjs kesehatan bisa tetap lancar menjalani cuci darah;Positif;
salah satu fasilitas dari bpjs kesehatan adalah menjalani cuci darah dengan gratis dan ini sudah terbukti;Positif;
harisomawari salah satu peserta jkn kis bisa lancar menjalani cuci darah dengan menggunakan fasilitas dari bpjs kesehatan;Positif;
syukurlah masyarakat terbantu banget dengan ada jkn kis peserta bpjs kesehatan lancar menjalani cuci darah;Positif;
budget segitu buat bpjs pun hanya untuk dapetin fasilitas kesehatan doang ;Netral;
saya adalah seorang kurir di salah satu perusahaan logistik bumn tapi yang ingin saya tanyakan kasihan kenapa masyarakat tidak mampu harus membayar iuran;Negatif;
kalau di asuransi kesehatan swasta komersial perokok biasanya akan membayar premi asuransi;Netral;
salam sehat bapak ibu proses pendaftaran kepesertaan bpjs kesehatan saat ini bisa secara daring;Netral;
indonesia public institute mengingatkan pamor presiden jokowi bisa tergerus gara gara menaikkan iuran bpjs kesehatan;Netral;
bpjs kesehatan benar membantu warga meski di tengah pandemi begini;Positif;
konsul kesehatan mental bisa pake bpjs kok jadi bermanfaat;Positif;
kenaikan iuran bpjs ternyata biar bpjs tetap hidup kebayang kan bpjs menanggung biaya ke rumah sakit;Positif;
min caranya berhenti dari peserta bpjs kesehatan gimana ya;Netral;negatif
ga di tanggung sama bpjs kesehatan jadi memberatkan;Negatif;
salam sehat ibu kiki akan saya bantu cek datanya terlebih dahulu silahkan bantu informasikan nomor kartunya;Netral;
sahabat kalian sudah tahu belum kalo sekarang ada vika jika kalian menghubungi bpjs kesehatan care center ;Netral;
bpjs yang diwajibkan ada kesehatan dan ketenagakerjaan untuk yang Ketenagakerjaan lumayan banget berguna;Positif;
bpjs kesehatan sebagai ketua fpgh dorong kerja sama antar anggota ;Netral;
benar ibu widy apabila sudah terdaftar autodebit pembayaran bpjs kesehatan;Netral;
bukan semua pekerja buruh tetapi tenaga medis dan tenaga kesehatan yang bisa dikategorikan sebagai ;Netral;
salam sehat bapak hendro akan saya bantu cek datanya terlebih dahulu silahkan bantu informasikan ;Netral;
bpjs kesehatan gelar kompetisi bidang teknologi;Netral;
formulir pendaftaran bisa diakses melalui banner pada website bpjs kesehatan mulai Juni ;Netral;
sikap bem terkaik kenaikan bpjs ditengah kondisi covid dan ekonomi yang sedang sulit juga menerpa negeri ini;Netral;
bersama kepala cabang bpjs kesehatan kabupaten karawang bagikan sembako kepada buruh fspmi dan masyarakat yang membutuhkan;Netral;
kartu saya hilang dan saya lupa nomor kartunya bagaimana cara untuk bisa dapat nomor kembali;Netral;
masih coba cara lain ada rs khusus ortopedi di surabaya yang kayaknya pasti bisa operasi setelah saya wa;Netral;
akan saya bantu cek datanya terlebih dahulu silahkan bantu informasikan nomor kartu bpjs kesehatannya;Netral;
alhamdulillah terima kasih sudah melunasi tunggakan bpjs saya semoga selalu diberi kesehatan;Positif;
kalo ga ngurus gatau ternyata sekarang semua peserta bpjs kesehatan wajib autodebit ngelampirin atm dan buku rekening jadi susah;Negatif;
kamu sadar bahwa tax ratio kita masih dibawah lima belas;Netral;
pengalaman nunggu ortu hemodialisis pembersihan darah Jadi ga perlu panik semua dijamin lancar berkat jkn kis;Positif;
komunisme sebagai ideologi untuk mengoreksi kapitalisme ikut menyumbang dana;Netral;
semenjak saya paham tidak semua masalah kesehatan bisa ngandalin bpjs ;Netral;negatif
salon itu konteksnya estetika biar bagaimanapun ga akan dicover bpjs yang jelas jelas peruntukannya penyediaan fasilitas kesehatan;Netral;
iuran bpjs dinaikan untuk keberlangsungan kesehatan rakyat;Positif;
lpes dan drone emprit membedah respon publik terkait kenaikan tarif bpjs kesehatan;Netral;
selamat siang bpjs kesehatan saya mau bayar bpjs kesehatan via m banking knp tidak bisa apa sedang error;Netral;
antrian pagi di bpjs kesehatan dan samsat bulak kapal bekasi pake masker dan jaga jarak;Positif;negatif
hingga dua puluh tujuh mei terdapat dua ratus sembilan puluh satu rumah sakit yang telah mengajukan klaim khusus untuk kasus covid di Kantor cabang;Netral;
sobat udah tau belum mulai september pembayaran bpjs kesehatan wajib menggunakan autodebet ;Netral;
daftar bpjs kesehatan itu bisa online gak sih teman teman;Netral;
bpjs kesehatan gelar lomba hackathon berhadiah seratus dua puluh juta;Netral;
kenaikan iuran demi keberlangsungan bpjs kesehatan jadi yuk ini semua dari kita untuk kita kok ;Positif;
bpjs kesehatan kenalkan jkn kis kepada dunia internasional;Netral;positif
info bpjs kesehatan saat ini dokter praktek pratama yang bekerja sama dengan bpjs kesehatan telah bisa konsul kesehatan;Netral;positif
kehadiran program jkn kis telah membuka akses pelayanan kesehatan yang terjangkau dan berkualitas sehingga banyak yang terbantu ;Positif;
harusnya kesehatan dijamin penuh oleh negara artinya rakyat ga usah bayar premi bpjs kalau mau dapat pelayanan kesehatan;Negatif;
perdramaan bpjs kesehatan ini ngga selesai selesai;Negatif;
enam puluh persen peserta mandiri bpjs kesehatan terancam tak bisa bayar ;Netral;negatif (krn naik sulit bayar)
banyak kebutuhan informasi yang tidak bisa kita terima kalau situasi sedang begini apalagi masalah kesehatan kita harus tau bpjs menyediakan chika;Netral;
di tengah wabah corona bpjs tetap melayani sepenuh hati yang terbaru nih sekarang masyarakat bisa menggunakan aplikasi daring berbasis media sosial yaitu cika suara interaktiv jkn kalian udah coba;Positif;
chika atau chat asistant jkn yakni pelayanan info dan pengaduan melalui chat yg di respon artifical Intellegence sistem facebook messanger telegram dan whatsapp;Netral;
ada layanan baru dari bpjs kesehatan yang namanya unik gak ada vika dan chika Keduanya punya fungsi dan manfaat yg berbeda lho;Netral;positif
info kini kalian gak perlu repot keluar rumah utk memperoleh faskes bpjs karena udah ada fasilitas servis aplikasi daring berbasis media sosial yakni jkn chika dan voice interactive jkn vika;Netral;
tentunya penggunaan vika dan chika sangat bermanfaat salah satunya dapat mendukung social distance karena kita ga harus keluar rumah untuk mengecek tagihan maupun bila ada pengaduan boleh dicoba nih;Positif;
inovasi yg bagus ditengah wabah corona seperti yg dkeluarkan bpjs Kesehatan dimana peserta bisa menggunakan aplikasi berbasis medsos yakni chat jkn chika dan voice interactive jkn vika ;Positif;
saya suka sekali balas nya cepat lebih cepat dari balasan chat doi  ;Positif;
dengan adanya layanan vika dan chika dari bpjs kesehatan ri ini mempermudah masyarakat untuk mengecek status tagihan dan kepesertaan jkn kis pokoknya support terus bpjs kesehatan nih;Positif;
orang dengan penyakit Ini sangat berisiko covid apa saja;Netral;
nah kalau mau mengadu gunakan chika Ini adalah layanan ai yang akan menjawab semua permasalahan melewati jejaring sosial dan layanan chatting Ini sebagai bentuk pelayanan bpjs kesehatan untuk memberikan kemudahan kepada masyarakat;Netral;
bpjs kesehatan iurannya gak turun;Negatif;
mau berobat harus pake rujukan ini itu kalau sakit nya di luar faskes 1 ;Negatif;
teknologi zaman sekarang sudah luar biasa deh selain hampir semua aplikasi ada di smartphone ada juga yang lewat suara;Netral;
saat ini kita bisa mengecek status tagihan dan kepesertaan jkn kis melalui bpjs kesehatan care center melalui  layanan vika dan melakukan berita aduan dengan chat asistant jkn chika lebih simple dan praktis tentunya;Positif;
wah bpjs kesehatan kini membantu masyarakat dalam pelayanan informasi menggunakan vika dan chika;Positif;
suatu terobosan di tengah era serba digital terutama ditengah wabah virus corona sesuai komitmen bpjs kesehatan untuk  memberikan pelayan terbaik kepada masyarakat Jadi jangan ragu untuk pakai layanan chika dan vika ya gaes save posternya ya;Netral;
semakin bangga dan semakin support dengan bpjs kesehatan yang di dukung adanya layanan melalui  vika voice interactive jkn dan chika chat asistant jkn agar masyarakat lebih terlayani dengan baik lagi tentunya;Positif;
bpjs kesehatan meluncurkan chat assistent jkn chika dan voice interactive jkn vika yang berfungsi membantu masyarakat dalam pelayanan informasi kapanpun dan dimanapun cek nomernya di poster ya sob;Netral;
senang banget sekarang bpjs kesehatan semakin lengkap pelayanannya dan di dukung adanya vika sehingga semakin mudah untuk di akses;Positif;
aku baru tau nih ada layanan baru di aplikasi mobile jkn aplikasi ini ada untuk memudahkan masyarakat secara online supaya gak harus ke kantor bpjs kesehatan lagi ;Positif;
ada yang baru nih di bpjs kesehatan salah satu layanan untuk masyarakat dalam solusi social distancing bpjs menyediakan aplikasi jkn dengan layanan vika dan chika apa itu ya ;Netral;positif
disumpal para kapital gitu bertanggung jawabkah negara atas kesehatan rakyat jika jurus palak ala bpjs dinaikkan gitu untuk menjaga persatuan;Negatif;
mensyaratkan swab tes pcr untuk warga negara yang akan masuk Jakarta boleh saja tapi harus dibiayai oleh negara ;Netral;
bagaimana dengan hasilnya segitu aja usahanya pak beban rakyat itu sudah gak ketulungan sejak pandemi ini tetapi iuran malah dinaikan;Negatif;
bpjs kesehatan sederhanakan pengajuan klaim pasien covid syaratnya semakin mudah ;Netral;positif
salam sehat ibu bayi baru lahir dari peserta jaminan kesehatan wajib didaftarkan kepada bpjs Kesehatan ;Netral;
cek iuran bpjs kesehatan lewat apk bulan mei belum di bayar yg udah bulan april giliran mau di bayar tidak bisa;Negatif;
menolak lupa delapan tahun lalu mantan menteri kesehatan siti fadilah supari sudah mengingatkan akan bahaya bpjs karena vaksin;Negatif;
iuran bpjs kesehatan resmi naik di tengah pandemi;Netral;negatif
karena negara tak mampu membiayai makan para napi dilepas karena tak mampu berikan jaminan kesehatan iuran bpjs dinaikan ;Negatif;
desa ke kota yang cukup jauh belum lagi puskesmas atau klinik tidak punya fasilitas kesehatan yang mumpuni seperti rsud;Negatif;
kalau bisa bpjs kesehatan jangan dihapus ya lebih baik diperbaiki pelayanannya kasihan rakyat yang kurang mampu;Netral;
naikkan iuran bpjs saat negara berstatus darurat kesehatan Ingin terapkan new normal saat jumlah kasus positif dalam kenaikan ;Netral;negatif
rakyat kelas tiga bersatulah bisa ajak bikin koperasi kesehatan ;Netral;
bpjs kesehatan memberikan pelayanan terbaik saat pandemi covid ;Positif;
dulu nyuruh adek kuliah di kesehatan dengan bayangan bisa kerja dan hidup sejahtera tp denger cerita temen yg profesi kesehatan ternyata susah;Negatif;
Kalau dibalik aja gimana rakyat sudah lelah membiayai negara mulai dari pph ppn pbb lstrik mahal;Negatif;
iuran bpjs kesehatan pemerintah harus cabut keputusan yang rugikan rakyat ;Netral;negatif
pendaftaran bayi baru lahir bisa langsung ke kantor bpjs kesehatan dengan membawa surat keterangan lahir ;Netral;
menggunakan bpjs kesehatan cuci darah mudah;Positif;
setelah dijelaskan baru sadar padahal informasinya jelas banget cuma kurang teliti alasan iuran naik;Positif;
yang naik hanya kelas satu dan dua kelas tiga tidak naik negara hadir bantu masyarakat ;Positif;
sering kali dangkal informasi memang membuat riuh dibaca dulu biar makin paham ya terkait kebijakan bpjs kesehatan ;Positif;
gotong royong untuk kebaikan bersama lewat iuran bpjs kesehatan;Positif;
banyak masyarakat yang puas dengan pelayanan bpjs kesehatan tapi ada juga yang merasakan keberatan apalagi adanya kabar kenaikan iuran;Netral;
bpjs kesehatan mending dihapus atau diperbaiki;Netral;
bayangkan jika sampai ditutup berapa banyak penderita kanker gagal ginjal yg harus cuci darah;Netral;
ketika menaikkan tarif iuran bpjs itu memang jadi opsi yang sulit tapi demi keberlangsungan bpjs kesehatan agar terjamin kesehatan bagi masyarakat;Positif;
kenaikan iuran bpjs hanya untuk kelas satu dan kelas dua sedangkan untuk kelas tiga tidak ada kenaikan untuk orang menengah ke bawah;Netral;
kalau aku sih daripada bpjs ditutup yang lebih bikin susah rakyat kecil lebih baik penyesuaian tarif supaya bpjs bisa terus membantu masyarakat yang membutuhkan;Positif;
masalah kenaikan tarif kenapa masih jd perdebatan ya padahal itu memang perlu untuk membantu operasional bpjs agar tetap melayani dengan maksimal ;Netral;
ayo pilih mana bpjs kesehatan mending dihapus atau diperbaiki;Netral;
sebentar lagi new normal keberlanjutan bpjs kesehatan untuk kebaikan bersama semoga menemukan jalan terbaik karena banyak masyarakat yang membutuhkan;Netral;
ragu kalau ditanya bpjs kesehatan dihapus atau diperbaiki karena keduanya ada plus dan minusnya ;Netral;
ngakak liat ceritanya jono pas sakit kebanyakan mikir tinggal pergi ke pusat kesehatan pake kartu bpjs aja ;Netral;
menurut kalian gimana bpjs kesehatan mending dihapus atau diperbaiki apapun hasilnya semoga bisa terus melayani masyarakat ;Netral;
pemerintah akan membantu iuran iuran bpjs kesehatan dengan memeberikan pelayanan buat masyarkat Mari kita support terus bpjs;Netral;
apakah bpjs kesehatan mending dihapus atau diperbaiki bisa jadi komik ini bisa menjadi gambaran untuk kita;Netral;
sekarang jadi makin paham kan yuk kita dukung apapun keputusannya dan semoga semakin lebih baik pelayanannya ;Positif;
selamat pagi menyangkut soal bpjs kesehatan lebih baik di hapus atau diperbaiki;Netral;
nah buat kalian engga usah khawatir karena yang naik itu hanya bpjs Kelas satu dan dua saja untuk org miskin tidak mampu gratis;Netral;
pemerintah membantu iuran peserta bpjs kesehatan semoga bpjs kesehatan memberikan pelayanan terbaik nya bagi masyarakat;Positif;
menurut kalian bpjs kesehatan mending dihapus atau diperbaiki Kalau aku sih lebih baik bpjs tetap melayani sesuai tarif ;Positif;
pemerintah berusaha untuk membantu masyarakat untuk mendapatkan pelayanan kesehatan terbaik semoga ini bisa memberi ketenangan bagi masyarakat;Positif;
negara kita maju kan karena gotong royong iuran bpjs kesehatan;Netral;
bpjs kesehatan harus diperbaiki bukan dihapus;Netral;
ilustrasi kartu ini ingin mengambarkan bahwa peserta puas dengan layanan bpjs kesehatan ;Positif;
jadi ngerti kalau iuran untuk kelas tiga gak naik sama seperti sebelumnya jadi aman gak memberatkan ;Positif;
manteman ini ada kartun menarik dari bpjs kesehatan dalam memberikan pelayanan untuk masyarakat ;Netral;
penjelasan tentang iuran bpjs diberikan berupa kontak jadi mudah dipahami enak banget;Positif;
komiknya syarat informasi banget selama ini pada ngeluh sana sini padahal gak gitu ;Netral;
ya pastinya mending diperbaiki daripada dihapus kasian yg benar benar butuh ;Positif;
nah ini yang bingung iuran naik padahal dia pbi jadi aman dong gak perlu puyeng periksa aja biar sehat bugar ;Netral;
bpjs enaknya dihapus apa di perbaiki ya Ini percakapan pak maman dan Jono ;Netral;
semoga yang terbaik buat bpjs kesehatan melayani negara;Netral;positif
selamat siang bpjs kesehatan;Netral;
sekarang paham kan kelas tiga gak naik karena disubsidi pemerintah cari tau biar infonya lengkap dan gak simpang siur;Netral;postif
ini ada komik bagus banget buat yang kemaren kemaren bingung soal iuran bpjs yang naik sampai bilang mending dihapus;Netral;
baca sampe abis yah komiknya nih komikusnya keren banget kisahnya seputar bpjs kesehatan;Netral;
indonesia kan terkenal dengan gotong royongnya jadi kita saling bantu lewat bpjs kesehatan;Netral;
iuran akan naik bpjs kesehatan klaim belum ada peserta mandiri yang pindah kelas;Netral;
kenaikan iuran bpjs itu untuk kelas satu dan dua karena tujuan pemerintah itu dengan gotong royong semua orang tertolong ;Netral;
menurut kalian mending dihapus atau diperbaiki kalau aku sih jangan sampai dihapus karena sudah merasakan dampak positifnya;Positif;
aturan baru mengenai iuran bpjs kesehatan yang ditetapkan pemerintah adalah bertujuan untuk peningkatan fasilitas;Positif;
menurut kalian bpjs kesehatan dihapus atau diperbaiki jangan bingung coba dipahami ya;Netral;
bener kan kata pak maman yang dinaikkan itu kelas satu dan dua yang kelas tiga tetap gratis karena pemerintah yang tanggung;Netral;
polemik ya sama bpjs kesehatan iuran dinaikkan banyak yang protes lebih tepatnya salah paham rakyat miskin tetap dibantu dengan ditanggung;Positif;
jadi kalo tau gini bpjs mending dihapus atau dilanjut Kalo menurut saya mending dilanjut sambil dibenahi lagi karena sudah terasa manfaatnya;Positif;
ibu saya pribadi memilih bpjs kesehatan diperbaiki sebab ada prinsip dengan gotong royong semua tertolong di dalamnya ;Positif;
pemerintah membuat aturan baru tujuannya adalah untuk berbenah sehingga kedepannya pelayanan yang diterima masyarakat lebih maksimal;Positif;
mending di perbaiki saja selama ini masyarakat banyak yg puas pelayanan bpjs kesehatan dan merasakan manfaatnya juga ;Positif;
kita cuman punya dua pilihan bpjs kesehatan mending di hapus atau di perbaiki aku sih lebih setuju di perbaiki karena terasa manfaatnya;Positif;
keberlanjutan bpjs untuk kepentingan bersama lebih banyak azas manfaat yang kita terima sudah seharusnya kita dukung;Positif;
saya pribadi memilih bpjs kesehatan diperbaiki sebab ada prinsip dengan gotong royong semua tertolong di dalamnya juga sudah terasa manfaatnya;Positif;
taik lah bpjs kelas satu nyatanya dilapangan dengan berbagai alasan rs gak mau ngasih kelas satu ujung ujungnya masuk kelas dua titid;Negatif;
halah gausa ketinggian lu bahas bbm bpjs pln bahas pelayanan bpjs aja masih ngaco ;Negatif;
bpjs sangat bermanfaat;Positif;
rakyat terus biayai negara dengan bayar pajak iuran bpjs harga harga yg naik negara tidak mungkin terus biayai rakyat;Negatif;
apakah dapat dibantu cek status keikutsertaan saya dalam bpjs masih aktif atau sudah tidak aktif ;Netral;
oke rakyat juga tidak bisa terus menerus biayai negara pajak bpjs pbb dll Fix yaa rakyat biar mandiri juga;Netral;
mau bayar iuran darimana jiwasraya asabri ngutang pertamina bpjs listrik ;Negatif;
saya sedang mendaftar bpjs tetapi ketika didaftarkan ada syarat yang belum terpenuhi dikatakan bhw ktp istri saya harus di daring kan;Netral;
malam min kalau mau nonaktifkan auto debet untuk pembayaran bpjs gimana ya soalnya mau dialihkan pembayarannya;Netral;
daripada naikin bpjs mending jokowi bubarin bpip ksp stafsus presiden amp wapres mereka gak ada gunanya serta hemat triliunan;Negatif;
aw sakitnya gak dicover bpjs;Netral;
bersihin karang gigi emg bisa pake bpjs ya;Netral;
yang ditanggung bpjs oleh pemerintah hanya kelas tiga;Netral;
untuk masyarakat yg betul betul membutuhkan dokumen kependudukan seperti untuk pengurusan bpjs dan rumah sakit bisa melalui kantor terkait;Netral;
dumdum Kepala dijahit telapak kaki patah semoga cepet sembuh allahuakbar oh ya berobatnya pakai bpjs atau apa;Netral;
min boleh minta bantu rt nya motor suami saya vario tahun dua ribu lima belas warna hitam kemarin sore hilang ;Netral;
fokus kita terhadap pki sedang di acak acak dengan naik nya bpjs kebencian kepada arab dan lain lain;Netral;
karna adanya pandemi covid padahal saya ingin segera mencairkan bpjs saya apa benar karena pandemi ini jadi terkendala;Netral;
saya hanya ingin bertanya apakah dengan menunjukkan kartu bpjs bisa langsung bebas dari pemeriksaan covid;Netral;
kapan aku dibiayai pemerintah makan aku nyari sendiri malah aku bayar pajak aku juga bayar bpjs;Negatif;
sumpah demi apa gue awalnya baca bpjs kesel tapi setelah tau jadi tenang;Positif;
mau join bpjs formulirnya sebelah mana;Netral;
giliran buat bpjs bilangnya gak punya duit;Netral;
kasian negara ngemis ke rakyat dengan melangar psbb dapetnya cuman dua setengah m boro boro membiayai rakyat;Negatif;
ibnu hassan cebong yang dibicarain iuran bpjs yang dibahas yang lain;Netral;negatif
mohon info apakah bpjs morangan buka normal selama pandemi covid;Netral;
bpjs dapat berapa;Netral;
dia ba nya bpjs yg beneran aku sih bpjs kw premium;Netral;
iuran bpjs kesehatan resmi naik di tengah pandemi covid Serba serbi mmc pemerintah lagi lagi mengeluarkan kebijakan kontroversial;Netral;negatif
jelas pakai bpjs lah Kan senang kalau gratis;Positif;
din syamsuddin sebut hutang bpjs yang sebenarnya kepada Muhammadiyah bukan tiga ratus milyar;Netral;negatif
rakyat yang mana yang ada rakyat hidup biayai sendiri pemerintah naikin bpjs listrik dan sebagainya;Negatif;
ibnu hassan ini bukan bicara iuran yang naek tong;Netral;
bpjs barisan para jomblo sukses;Netral;
anwar urusan bpjs panggil mbak aku kabur dulu ya takut kena sleding lagi;Netral;
kapankah negara biayai rakyat bbm harusnya turun ya ga turun bpjs kesehatan harusnya bisa gratis malah dinaikin;Negatif;
jangan ngarep dana apbn negara lagi pusing sama nutup biaya bpjs sama biaya covid ini;Netral;
tolong jangan dulu sakit bpjs ku belum cair;Netral;
faskes tingkat satu bukan menolak tapi tidak bisa menangani untuk luka tersebut karena butuh jumlah jahitan yg melebihi yang bisa dicover bpjs;Netral;
bbm tidak di turunkan sementara di seluruh dunia turun berarti rakyat membiayai pemerintah juga dengan naiknya iuran bpjs;Negatif;
maksudnya apa test covid bisa ditanggung bpjs ya saya tidak tau pak;Netral;
selamat malam kak saya ata suryata mohon bantuan untuk reset email akun bpjs saya kak;Netral;
wifi sama bpjs di rumah sekarang aku yang bayar dan malah naik iuran bpjs;Negatif;
saat pandemi bpjs kesehatan lhokseumawe tetap utamakan kepuasan peserta ;Netral;
waras bpjs gitu Kesehatan tapera gitu properti masih ada pendidikan dan pangan nih yang belum di duitkan pemerintah;Negatif;
