,STOP_REMOVAL,STEMMING,Text_Token,Sentiment
35,pemerintah iuran bpjs kesehatan kelas ratus delapan puluh enam ribu rupiah,perintah iur bpjs sehat kelas ratus delapan puluh enam ribu rupiah,"['perintah', 'iur', 'bpjs', 'sehat', 'kelas', 'ratus', 'delapan', 'puluh', 'enam', 'ribu', 'rupiah']",Netral
36,iuran bpjs kesehatan masyarakat ditanggung pemerintah,iur bpjs sehat masyarakat tanggung perintah,"['iur', 'bpjs', 'sehat', 'masyarakat', 'tanggung', 'perintah']",Netral
37,salam sehat anto mohon maaf pelayanan kesehatan dijaminkan bpjs kesehatan sesuai Indikasi,salam sehat anto mohon maaf layan sehat jamin bpjs sehat sesuai indikasi,"['salam', 'sehat', 'anto', 'mohon', 'maaf', 'layan', 'sehat', 'jamin', 'bpjs', 'sehat', 'sesuai', 'indikasi']",Netral
38,bpjs rumah sakit vs bpjs vs rakyat pelayanan bpjs jelek disalahin rs,bpjs rumah sakit vs bpjs vs rakyat layan bpjs jelek disalahin rs,"['bpjs', 'rumah', 'sakit', 'vs', 'bpjs', 'vs', 'rakyat', 'layan', 'bpjs', 'jelek', 'disalahin', 'rs']",Netral
39,bahaya peserta bpjs kesehatan turun kelas iuran,bahaya serta bpjs sehat turun kelas iur,"['bahaya', 'serta', 'bpjs', 'sehat', 'turun', 'kelas', 'iur']",Netral
40,tarif iuran bpjs kesehatan peserta mandiri sejalan pembenahan sistem pelayanan kesehatan,tarif iur bpjs sehat serta mandiri jalan benah sistem layan sehat,"['tarif', 'iur', 'bpjs', 'sehat', 'serta', 'mandiri', 'jalan', 'benah', 'sistem', 'layan', 'sehat']",Netral
41,emang rokok orang orang dewasa mba anak pajak rokok nutup iuran bpjs,emang rokok orang orang dewasa mba anak pajak rokok nutup iur bpjs,"['emang', 'rokok', 'orang', 'orang', 'dewasa', 'mba', 'anak', 'pajak', 'rokok', 'nutup', 'iur', 'bpjs']",Netral
42,bahaya peserta bpjs kesehatan turun kelas iuran,bahaya serta bpjs sehat turun kelas iur,"['bahaya', 'serta', 'bpjs', 'sehat', 'turun', 'kelas', 'iur']",Netral
43,penyulit dirujuk rumah sakit sesuai arahan dokter faskes tingkat pembelajaran bpjs,sulit rujuk rumah sakit sesuai arah dokter faskes tingkat ajar bpjs,"['sulit', 'rujuk', 'rumah', 'sakit', 'sesuai', 'arah', 'dokter', 'faskes', 'tingkat', 'ajar', 'bpjs']",Negatif
44,tolong infonya ka terkait psbb sebuhungan pandemi Jam operasional kantor bpjs,tolong info ka kait psbb sebuhungan pandemi jam operasional kantor bpjs,"['tolong', 'info', 'ka', 'kait', 'psbb', 'sebuhungan', 'pandemi', 'jam', 'operasional', 'kantor', 'bpjs']",Netral
45,menyebut iuran bpjs kesehatan peserta mandiri berlaku Juli sesuai perhitungan biaya,sebut iur bpjs sehat serta mandiri laku juli sesuai hitung biaya,"['sebut', 'iur', 'bpjs', 'sehat', 'serta', 'mandiri', 'laku', 'juli', 'sesuai', 'hitung', 'biaya']",Netral
46,kenaikan iuran bpjs pemerintah menaikkan iuran bpjs kesehatan diterbitkannya peraturan presiden,naik iur bpjs perintah naik iur bpjs sehat terbit atur presiden,"['naik', 'iur', 'bpjs', 'perintah', 'naik', 'iur', 'bpjs', 'sehat', 'terbit', 'atur', 'presiden']",Netral
47,heran bpjs bayar tenaga kesehatan ,heran bpjs bayar tenaga sehat,"['heran', 'bpjs', 'bayar', 'tenaga', 'sehat']",Negatif
48,bpjs pimpin pertemuan internasional bahas jaminan kesehatan ,bpjs pimpin temu internasional bahas jamin sehat,"['bpjs', 'pimpin', 'temu', 'internasional', 'bahas', 'jamin', 'sehat']",Netral
49,sahabat bpjs kesehatan mengadakan hackathon programmer praktisi ti Indonesia ,sahabat bpjs sehat ada hackathon programmer praktisi ti indonesia,"['sahabat', 'bpjs', 'sehat', 'ada', 'hackathon', 'programmer', 'praktisi', 'ti', 'indonesia']",Netral
50,pimpin pertemuan virtual internasional bpjs bahas jaminan kesehatan fpgh indonesia ,pimpin temu virtual internasional bpjs bahas jamin sehat fpgh indonesia,"['pimpin', 'temu', 'virtual', 'internasional', 'bpjs', 'bahas', 'jamin', 'sehat', 'fpgh', 'indonesia']",Netral
51,alhamdulillah bpjs kesehatan bener membantu warga pandemi,alhamdulillah bpjs sehat bener bantu warga pandemi,"['alhamdulillah', 'bpjs', 'sehat', 'bener', 'bantu', 'warga', 'pandemi']",Positif
52,menjamin dipaksakan asuransi kesehatan ditambah dipaksakan bpjs ,jamin paksa asuransi sehat tambah paksa bpjs,"['jamin', 'paksa', 'asuransi', 'sehat', 'tambah', 'paksa', 'bpjs']",Negatif
53,miris kesehatan dijadikan bisnis rakyat dipalak kepentingan kapitalis,miris sehat jadi bisnis rakyat palak penting kapitalis,"['miris', 'sehat', 'jadi', 'bisnis', 'rakyat', 'palak', 'penting', 'kapitalis']",Negatif
54,konsul kesehatan mental pake bpjs,konsul sehat mental pake bpjs,"['konsul', 'sehat', 'mental', 'pake', 'bpjs']",Netral
55,bpjs iurannya dibandingkan premi asuransi kesehatan poin plus,bpjs iur banding premi asuransi sehat poin plus,"['bpjs', 'iur', 'banding', 'premi', 'asuransi', 'sehat', 'poin', 'plus']",Positif
56,jamsostek ketenagakerjaan bpjs kesehatan adalagi bp tapera pendapatan bayar iuran mulu,jamsostek ketenagakerjaan bpjs sehat adalagi bp tapera dapat bayar iur mulu,"['jamsostek', 'ketenagakerjaan', 'bpjs', 'sehat', 'adalagi', 'bp', 'tapera', 'dapat', 'bayar', 'iur', 'mulu']",Negatif
57,jokowi bebani rakyat miskin covid turunkan bbm naikkan bpjs kesehatan cebong sakit biaya,jokowi beban rakyat miskin covid turun bbm naik bpjs sehat cebong sakit biaya,"['jokowi', 'beban', 'rakyat', 'miskin', 'covid', 'turun', 'bbm', 'naik', 'bpjs', 'sehat', 'cebong', 'sakit', 'biaya']",Negatif
58,pembayaran peserta mandiri bpjs kesehatan auto debit ,bayar serta mandiri bpjs sehat auto debit,"['bayar', 'serta', 'mandiri', 'bpjs', 'sehat', 'auto', 'debit']",Netral
59,pemprov aceh tanggung iuran bpjs kesehatan juta warga,pemprov aceh tanggung iur bpjs sehat juta warga,"['pemprov', 'aceh', 'tanggung', 'iur', 'bpjs', 'sehat', 'juta', 'warga']",Netral
60,bpjs telat bayar apd dibayar namanya doang kementrian kesehatan didalemnya sakit ,bpjs telat bayar apd bayar nama doang tri sehat dalem sakit,"['bpjs', 'telat', 'bayar', 'apd', 'bayar', 'nama', 'doang', 'tri', 'sehat', 'dalem', 'sakit']",Negatif
61,bpjs pimpin pertemuan internasional bahas jaminan kesehatan,bpjs pimpin temu internasional bahas jamin sehat,"['bpjs', 'pimpin', 'temu', 'internasional', 'bahas', 'jamin', 'sehat']",Netral
62,back up asuransi basic kesehatan minimal bpjs Kalau rezeki swasta biar terjamin,back up asuransi basic sehat minimal bpjs kalau rezeki swasta biar jamin,"['back', 'up', 'asuransi', 'basic', 'sehat', 'minimal', 'bpjs', 'kalau', 'rezeki', 'swasta', 'biar', 'jamin']",Netral
63,naiknya iuran org berpenghasilan minim bpjs subsidi pemerintah,naik iur org hasil minim bpjs subsidi perintah,"['naik', 'iur', 'org', 'hasil', 'minim', 'bpjs', 'subsidi', 'perintah']",Positif
64,kesimpulannya pro kontra naiknya iuran bpjs kesehatan tau ,simpul pro kontra naik iur bpjs sehat tau,"['simpul', 'pro', 'kontra', 'naik', 'iur', 'bpjs', 'sehat', 'tau']",Netral
65,bermanfaat berkat jkn kis peserta bpjs kesehatan lancar menjalani cuci darah ,manfaat berkat jkn kis serta bpjs sehat lancar jalan cuci darah,"['manfaat', 'berkat', 'jkn', 'kis', 'serta', 'bpjs', 'sehat', 'lancar', 'jalan', 'cuci', 'darah']",Positif
66,indonesia didaulat menjabat Ketua fpgh ministerial retreat,indonesia daulat jabat ketua fpgh ministerial retreat,"['indonesia', 'daulat', 'jabat', 'ketua', 'fpgh', 'ministerial', 'retreat']",Netral
67,bpjs kesehatan proses verifikasi klaim rs covid,bpjs sehat proses verifikasi klaim rs covid,"['bpjs', 'sehat', 'proses', 'verifikasi', 'klaim', 'rs', 'covid']",Netral
68,terimakasih bpjs karna menanggung pengobatan Kalau bpjs tau bayar,terimakasih bpjs karna tanggung obat kalau bpjs tau bayar,"['terimakasih', 'bpjs', 'karna', 'tanggung', 'obat', 'kalau', 'bpjs', 'tau', 'bayar']",Positif
69,berterimakasih allah karna kesehatan berhak bpjs,berterimakasih allah karna sehat hak bpjs,"['berterimakasih', 'allah', 'karna', 'sehat', 'hak', 'bpjs']",Netral
70,tabungan banget laki rekening sampe nabung ,tabung banget laki rekening sampe nabung,"['tabung', 'banget', 'laki', 'rekening', 'sampe', 'nabung']",Netral
71,hati lu asuransinya lu sakit hati gegara cewek lu referendum,hati lu asuransi lu sakit hati gegara cewek lu referendum,"['hati', 'lu', 'asuransi', 'lu', 'sakit', 'hati', 'gegara', 'cewek', 'lu', 'referendum']",Netral
72,anak udh santai kis suami keperluan lahiran anak ngurus ribet,anak udh santai kis suami perlu lahir anak ngurus ribet,"['anak', 'udh', 'santai', 'kis', 'suami', 'perlu', 'lahir', 'anak', 'ngurus', 'ribet']",Negatif
73,jkn kis harisomawati salah peserta bpjs kesehatan lancar menjalani cuci darah,jkn kis harisomawati salah serta bpjs sehat lancar jalan cuci darah,"['jkn', 'kis', 'harisomawati', 'salah', 'serta', 'bpjs', 'sehat', 'lancar', 'jalan', 'cuci', 'darah']",Positif
74,salah fasilitas bpjs kesehatan menjalani cuci darah gratis terbukti,salah fasilitas bpjs sehat jalan cuci darah gratis bukti,"['salah', 'fasilitas', 'bpjs', 'sehat', 'jalan', 'cuci', 'darah', 'gratis', 'bukti']",Positif
75,harisomawari salah peserta jkn kis lancar menjalani cuci darah fasilitas bpjs kesehatan,harisomawari salah serta jkn kis lancar jalan cuci darah fasilitas bpjs sehat,"['harisomawari', 'salah', 'serta', 'jkn', 'kis', 'lancar', 'jalan', 'cuci', 'darah', 'fasilitas', 'bpjs', 'sehat']",Positif
76,syukurlah masyarakat terbantu banget jkn kis peserta bpjs kesehatan lancar menjalani cuci darah,syukur masyarakat bantu banget jkn kis serta bpjs sehat lancar jalan cuci darah,"['syukur', 'masyarakat', 'bantu', 'banget', 'jkn', 'kis', 'serta', 'bpjs', 'sehat', 'lancar', 'jalan', 'cuci', 'darah']",Positif
77,budget segitu bpjs dapetin fasilitas kesehatan doang ,budget segitu bpjs dapetin fasilitas sehat doang,"['budget', 'segitu', 'bpjs', 'dapetin', 'fasilitas', 'sehat', 'doang']",Netral
78,kurir salah perusahaan logistik bumn kasihan masyarakat membayar iuran,kurir salah usaha logistik bumn kasihan masyarakat bayar iur,"['kurir', 'salah', 'usaha', 'logistik', 'bumn', 'kasihan', 'masyarakat', 'bayar', 'iur']",Negatif
79,asuransi kesehatan swasta komersial perokok membayar premi asuransi,asuransi sehat swasta komersial okok bayar premi asuransi,"['asuransi', 'sehat', 'swasta', 'komersial', 'okok', 'bayar', 'premi', 'asuransi']",Netral
80,salam sehat proses pendaftaran kepesertaan bpjs kesehatan daring,salam sehat proses daftar serta bpjs sehat daring,"['salam', 'sehat', 'proses', 'daftar', 'serta', 'bpjs', 'sehat', 'daring']",Netral
81,indonesia public institute pamor presiden jokowi tergerus gara gara menaikkan iuran bpjs kesehatan,indonesia public institute pamor presiden jokowi gerus gara gara naik iur bpjs sehat,"['indonesia', 'public', 'institute', 'pamor', 'presiden', 'jokowi', 'gerus', 'gara', 'gara', 'naik', 'iur', 'bpjs', 'sehat']",Netral
82,bpjs kesehatan membantu warga pandemi,bpjs sehat bantu warga pandemi,"['bpjs', 'sehat', 'bantu', 'warga', 'pandemi']",Positif
83,konsul kesehatan mental pake bpjs bermanfaat,konsul sehat mental pake bpjs manfaat,"['konsul', 'sehat', 'mental', 'pake', 'bpjs', 'manfaat']",Positif
84,kenaikan iuran bpjs biar bpjs hidup kebayang bpjs menanggung biaya rumah sakit,naik iur bpjs biar bpjs hidup bayang bpjs tanggung biaya rumah sakit,"['naik', 'iur', 'bpjs', 'biar', 'bpjs', 'hidup', 'bayang', 'bpjs', 'tanggung', 'biaya', 'rumah', 'sakit']",Positif
85,berhenti peserta bpjs kesehatan gimana,henti serta bpjs sehat gimana,"['henti', 'serta', 'bpjs', 'sehat', 'gimana']",Netral
86,tanggung bpjs kesehatan memberatkan,tanggung bpjs sehat berat,"['tanggung', 'bpjs', 'sehat', 'berat']",Negatif
87,salam sehat kiki bantu cek datanya silahkan bantu informasikan nomor kartunya,salam sehat kiki bantu cek data silah bantu informasi nomor kartu,"['salam', 'sehat', 'kiki', 'bantu', 'cek', 'data', 'silah', 'bantu', 'informasi', 'nomor', 'kartu']",Netral
88,sahabat vika menghubungi bpjs kesehatan care center ,sahabat vika hubung bpjs sehat care center,"['sahabat', 'vika', 'hubung', 'bpjs', 'sehat', 'care', 'center']",Netral
89,bpjs diwajibkan kesehatan ketenagakerjaan Ketenagakerjaan lumayan banget berguna,bpjs wajib sehat ketenagakerjaan ketenagakerjaan lumayan banget guna,"['bpjs', 'wajib', 'sehat', 'ketenagakerjaan', 'ketenagakerjaan', 'lumayan', 'banget', 'guna']",Positif
90,bpjs kesehatan ketua fpgh dorong kerja anggota ,bpjs sehat ketua fpgh dorong kerja anggota,"['bpjs', 'sehat', 'ketua', 'fpgh', 'dorong', 'kerja', 'anggota']",Netral
91,widy terdaftar autodebit pembayaran bpjs kesehatan,widy daftar autodebit bayar bpjs sehat,"['widy', 'daftar', 'autodebit', 'bayar', 'bpjs', 'sehat']",Netral
92,pekerja buruh tenaga medis tenaga kesehatan dikategorikan ,kerja buruh tenaga medis tenaga sehat kategori,"['kerja', 'buruh', 'tenaga', 'medis', 'tenaga', 'sehat', 'kategori']",Netral
93,salam sehat hendro bantu cek datanya silahkan bantu informasikan ,salam sehat hendro bantu cek data silah bantu informasi,"['salam', 'sehat', 'hendro', 'bantu', 'cek', 'data', 'silah', 'bantu', 'informasi']",Netral
94,bpjs kesehatan gelar kompetisi bidang teknologi,bpjs sehat gelar kompetisi bidang teknologi,"['bpjs', 'sehat', 'gelar', 'kompetisi', 'bidang', 'teknologi']",Netral
95,formulir pendaftaran diakses banner website bpjs kesehatan Juni ,formulir daftar akses banner website bpjs sehat juni,"['formulir', 'daftar', 'akses', 'banner', 'website', 'bpjs', 'sehat', 'juni']",Netral
96,sikap bem terkaik kenaikan bpjs ditengah kondisi covid ekonomi sulit menerpa negeri,sikap bem terkaik naik bpjs tengah kondisi covid ekonomi sulit terpa negeri,"['sikap', 'bem', 'terkaik', 'naik', 'bpjs', 'tengah', 'kondisi', 'covid', 'ekonomi', 'sulit', 'terpa', 'negeri']",Netral
97,kepala cabang bpjs kesehatan kabupaten karawang bagikan sembako buruh fspmi masyarakat membutuhkan,kepala cabang bpjs sehat kabupaten karawang bagi sembako buruh fspmi masyarakat butuh,"['kepala', 'cabang', 'bpjs', 'sehat', 'kabupaten', 'karawang', 'bagi', 'sembako', 'buruh', 'fspmi', 'masyarakat', 'butuh']",Netral
98,kartu hilang lupa nomor kartunya nomor,kartu hilang lupa nomor kartu nomor,"['kartu', 'hilang', 'lupa', 'nomor', 'kartu', 'nomor']",Netral
99,coba rs khusus ortopedi surabaya kayaknya operasi wa,coba rs khusus ortopedi surabaya kayak operasi wa,"['coba', 'rs', 'khusus', 'ortopedi', 'surabaya', 'kayak', 'operasi', 'wa']",Netral
100,bantu cek datanya silahkan bantu informasikan nomor kartu bpjs kesehatannya,bantu cek data silah bantu informasi nomor kartu bpjs sehat,"['bantu', 'cek', 'data', 'silah', 'bantu', 'informasi', 'nomor', 'kartu', 'bpjs', 'sehat']",Netral
101,alhamdulillah terima kasih melunasi tunggakan bpjs semoga kesehatan,alhamdulillah terima kasih lunas tunggak bpjs moga sehat,"['alhamdulillah', 'terima', 'kasih', 'lunas', 'tunggak', 'bpjs', 'moga', 'sehat']",Positif
102,ngurus gatau peserta bpjs kesehatan wajib autodebit ngelampirin atm buku rekening susah,ngurus gatau serta bpjs sehat wajib autodebit ngelampirin atm buku rekening susah,"['ngurus', 'gatau', 'serta', 'bpjs', 'sehat', 'wajib', 'autodebit', 'ngelampirin', 'atm', 'buku', 'rekening', 'susah']",Negatif
103,sadar tax ratio dibawah belas,sadar tax ratio bawah belas,"['sadar', 'tax', 'ratio', 'bawah', 'belas']",Netral
104,pengalaman nunggu ortu hemodialisis pembersihan darah Jadi panik dijamin lancar berkat jkn kis,alam nunggu ortu hemodialisis bersih darah jadi panik jamin lancar berkat jkn kis,"['alam', 'nunggu', 'ortu', 'hemodialisis', 'bersih', 'darah', 'jadi', 'panik', 'jamin', 'lancar', 'berkat', 'jkn', 'kis']",Positif
105,komunisme ideologi mengoreksi kapitalisme menyumbang dana,komunisme ideologi koreksi kapitalisme sumbang dana,"['komunisme', 'ideologi', 'koreksi', 'kapitalisme', 'sumbang', 'dana']",Netral
106,semenjak paham kesehatan ngandalin bpjs ,semenjak paham sehat ngandalin bpjs,"['semenjak', 'paham', 'sehat', 'ngandalin', 'bpjs']",Netral
107,salon konteksnya estetika biar dicover bpjs peruntukannya penyediaan fasilitas kesehatan,salon konteks estetika biar dicover bpjs untuk sedia fasilitas sehat,"['salon', 'konteks', 'estetika', 'biar', 'dicover', 'bpjs', 'untuk', 'sedia', 'fasilitas', 'sehat']",Netral
108,iuran bpjs dinaikan keberlangsungan kesehatan rakyat,iur bpjs naik langsung sehat rakyat,"['iur', 'bpjs', 'naik', 'langsung', 'sehat', 'rakyat']",Positif
109,lpes drone emprit membedah respon publik terkait kenaikan tarif bpjs kesehatan,lpes drone emprit bedah respon publik kait naik tarif bpjs sehat,"['lpes', 'drone', 'emprit', 'bedah', 'respon', 'publik', 'kait', 'naik', 'tarif', 'bpjs', 'sehat']",Netral
110,selamat siang bpjs kesehatan bayar bpjs kesehatan via m banking knp error,selamat siang bpjs sehat bayar bpjs sehat via m banking knp error,"['selamat', 'siang', 'bpjs', 'sehat', 'bayar', 'bpjs', 'sehat', 'via', 'm', 'banking', 'knp', 'error']",Netral
111,antrian pagi bpjs kesehatan samsat bulak kapal bekasi pake masker jaga jarak,antri pagi bpjs sehat samsat bulak kapal bekas pake masker jaga jarak,"['antri', 'pagi', 'bpjs', 'sehat', 'samsat', 'bulak', 'kapal', 'bekas', 'pake', 'masker', 'jaga', 'jarak']",Positif
112,puluh tujuh mei ratus sembilan puluh rumah sakit mengajukan klaim khusus covid Kantor cabang,puluh tujuh mei ratus sembilan puluh rumah sakit aju klaim khusus covid kantor cabang,"['puluh', 'tujuh', 'mei', 'ratus', 'sembilan', 'puluh', 'rumah', 'sakit', 'aju', 'klaim', 'khusus', 'covid', 'kantor', 'cabang']",Netral
113,sobat tau september pembayaran bpjs kesehatan wajib autodebet ,sobat tau september bayar bpjs sehat wajib autodebet,"['sobat', 'tau', 'september', 'bayar', 'bpjs', 'sehat', 'wajib', 'autodebet']",Netral
114,daftar bpjs kesehatan online sih teman teman,daftar bpjs sehat online sih teman teman,"['daftar', 'bpjs', 'sehat', 'online', 'sih', 'teman', 'teman']",Netral
115,bpjs kesehatan gelar lomba hackathon berhadiah seratus puluh juta,bpjs sehat gelar lomba hackathon hadiah ratus puluh juta,"['bpjs', 'sehat', 'gelar', 'lomba', 'hackathon', 'hadiah', 'ratus', 'puluh', 'juta']",Netral
116,kenaikan iuran keberlangsungan bpjs kesehatan yuk ,naik iur langsung bpjs sehat yuk,"['naik', 'iur', 'langsung', 'bpjs', 'sehat', 'yuk']",Positif
117,bpjs kesehatan kenalkan jkn kis dunia internasional,bpjs sehat kenal jkn kis dunia internasional,"['bpjs', 'sehat', 'kenal', 'jkn', 'kis', 'dunia', 'internasional']",Netral
118,info bpjs kesehatan dokter praktek pratama bpjs kesehatan konsul kesehatan,info bpjs sehat dokter praktek pratama bpjs sehat konsul sehat,"['info', 'bpjs', 'sehat', 'dokter', 'praktek', 'pratama', 'bpjs', 'sehat', 'konsul', 'sehat']",Netral
