,Data_Text,Sentiment
177,ragu bpjs sehat hapus baik plus minus,Netral
178,ngakak liat cerita jono pas sakit banyak mikir tinggal pergi pusat sehat pake kartu bpjs,Netral
179,gimana bpjs sehat mending hapus baik apa hasil moga layan masyarakat,Netral
180,perintah bantu iur iur bpjs sehat memeberikan layan masyarkat mari support bpjs,Netral
181,bpjs sehat mending hapus baik komik gambar,Netral
182,paham yuk dukung apa putus moga layan,Positif
183,selamat pagi bpjs sehat hapus baik,Netral
184,engga khawatir bpjs kelas org miskin gratis,Netral
185,perintah bantu iur serta bpjs sehat moga bpjs sehat layan baik masyarakat,Positif
186,bpjs sehat mending hapus baik kalau sih bpjs layan sesuai tarif,Positif
187,perintah usaha bantu masyarakat layan sehat baik moga tenang masyarakat,Positif
188,negara maju gotong royong iur bpjs sehat,Netral
189,bpjs sehat baik hapus,Netral
190,ilustrasi kartu ambar serta puas layan bpjs sehat,Positif
191,ngerti iur kelas aman berat,Positif
192,manteman kartun tarik bpjs sehat layan masyarakat,Netral
193,jelas iur bpjs kontak mudah paham enak banget,Positif
194,komik syarat informasi banget ngeluh gitu,Netral
195,pasti mending baik hapus kasi butuh,Positif
196,bingung iur pbi aman puyeng periksa biar sehat bugar,Netral
197,bpjs enak hapus baik ini cakap maman jono,Netral
198,moga baik bpjs sehat layan negara,Netral
199,selamat siang bpjs sehat,Netral
200,paham kelas subsidi perintah cari tau biar info lengkap simpang siur,Netral
201,komik bagus banget kemaren kemaren bingung iur bpjs bilang mending hapus,Netral
202,baca sampe abis yah komik nih komikus keren banget kisah putar bpjs sehat,Netral
203,indonesia kenal gotong royong bantu bpjs sehat,Netral
204,iur bpjs sehat klaim serta mandiri pindah kelas,Netral
205,naik iur bpjs kelas tuju perintah gotong royong orang tolong,Netral
206,mending hapus baik sih hapus rasa dampak positif,Positif
207,atur iur bpjs sehat tetap perintah tuju tingkat fasilitas,Positif
208,bpjs sehat hapus baik bingung coba paham,Netral
209,bener maman naik kelas kelas gratis perintah tanggung,Netral
210,polemik bpjs sehat iur naik protes tepat salah paham rakyat miskin bantu tanggung,Positif
211,tau gin bpjs mending hapus lanjut kalo mending lanjut benah manfaat,Positif
212,pribadi pilih bpjs sehat baik prinsip gotong royong tolong dalam,Positif
213,perintah atur tuju benah depan layan terima masyarakat maksimal,Positif
214,mending baik masyarakat puas layan bpjs sehat rasa manfaat,Positif
215,cuman pilih bpjs sehat mending hapus baik sih tuju baik manfaat,Positif
216,lanjut bpjs penting azas manfaat terima dukung,Positif
217,pribadi pilih bpjs sehat baik prinsip gotong royong tolong dalam manfaat,Positif
218,taik bpjs kelas lapang alas rs ngasih kelas ujung ujung masuk kelas titid,Negatif
219,gausa tinggi lu bahas bbm bpjs pln bahas layan bpjs ngaco,Negatif
220,bpjs manfaat,Positif
221,rakyat biaya negara bayar pajak iur bpjs harga harga negara biaya rakyat,Negatif
222,bantu cek status keikutsertaan bpjs aktif aktif,Netral
223,rakyat terus biaya negara pajak bpjs pbb fix yaa rakyat biar mandiri,Netral
224,bayar iur darimana jiwasraya asabri ngutang pertamina bpjs listrik,Negatif
225,daftar bpjs daftar syarat penuh bhw ktp istri daring,Netral
226,malam nonaktif auto debet bayar bpjs gimana alih bayar,Netral
227,naikin bpjs mending jokowi bubarin bpip ksp stafsus presiden amp wapres guna hemat triliun,Negatif
228,sakit dicover bpjs,Netral
229,bersihin karang gigi emg pake bpjs,Netral
230,tanggung bpjs perintah kelas,Netral
231,masyarakat butuh dokumen duduk urus bpjs rumah sakit kantor kait,Netral
232,dumdum kepala jahit telapak kaki patah moga cepet sembuh allahuakbar oh obat pakai bpjs,Netral
233,bantu rt motor suami vario ribu belas warna hitam kemarin sore hilang,Netral
234,fokus pki acak acak bpjs benci arab,Netral
235,karna pandemi covid cair bpjs pandemi kendala,Netral
236,kartu bpjs langsung bebas periksa covid,Netral
237,biaya perintah makan nyari bayar pajak bayar bpjs,Negatif
238,sumpah baca bpjs kesel tau tenang,Positif
239,join bpjs formulir belah,Netral
240,gilir bpjs bilang duit,Netral
241,kasi negara ngemis rakyat melangar psbb dapetnya cuman m boro boro biaya rakyat,Negatif
242,ibnu hassan cebong dibicarain iur bpjs bahas,Netral
243,mohon info bpjs morangan buka normal pandemi covid,Netral
244,bpjs,Netral
245,ba bpjs beneran sih bpjs kw premium,Netral
246,iur bpjs sehat resmi pandemi covid serba serbi mmc perintah keluar bijak kontroversial,Netral
247,pakai bpjs kan senang gratis,Positif
248,din syamsuddin hutang bpjs muhammadiyah ratus milyar,Netral
249,rakyat rakyat hidup biaya perintah naikin bpjs listrik,Negatif
250,ibnu hassan bicara iur naek tong,Netral
251,bpjs baris jomblo sukses,Netral
252,anwar urus bpjs panggil mbak kabur takut kena sleding,Netral
253,negara biaya rakyat bbm turun turun bpjs sehat gratis dinaikin,Negatif
254,ngarep dana apbn negara pusing nutup biaya bpjs biaya covid,Netral
255,tolong sakit bpjs ku cair,Netral
256,faskes tingkat tolak tangan luka butuh jahit lebih dicover bpjs,Netral
257,bbm turun dunia turun rakyat biaya perintah naik iur bpjs,Negatif
258,maksud test covid tanggung bpjs tau,Netral
259,selamat malam kak ata suryata mohon bantu reset email akun bpjs kak,Netral
260,wifi bpjs rumah bayar iur bpjs,Negatif
261,pandemi bpjs sehat lhokseumawe utama puas serta,Netral
262,waras bpjs gitu sehat tapera gitu properti didik pangan nih duit perintah,Negatif
263,sda limpah selenggara sehat gratis alih alih gratis rakyat rasa naik iur,Negatif
264,perintah menomorsatukan sehat lantas bijak naik bpjs sehat kena,Negatif
265,gaji potong bpjs sehat pilih manfaat,Negatif
266,ngomong utama sehat lapang iur bpjs naik obat mahal beli,Negatif
267,rumah ngapain gaji potong tapera potong pph ps bpjs ketenagakerjaan bpjs sehat,Negatif
268,bpjs sehat jalan penuh carut marut muncul tapera juntrung wajib,Negatif
269,biar sadar nuntut layan bpjs nomor dua lupa bayar kaga sehat,Negatif
270,potong gaji kerja tambah bpjs sehat bp jamsostek iur tabung berat,Negatif
271,maksud gimana pajak kantor paksa pakai bpjs motong uang rasa manfaat,Negatif
272,komite dpr ri kunjung kantor bpjs sehat cabang batam,Netral
273,rakyat susah potong pph bpjs tk sehat pensiun tega sih bikin potong,Negatif
274,selamat pagi tolong cek bpjs sehat milik ayah,Netral
275,biaya awat sehat mahal bayar iur,Netral
276,sih dah potong bpjs ketenagakerjaan sehat,Negatif
277,calo legislatif manajemen bpjs sehat baik,Negatif
278,bongkar sebab defisit bpjs sehat,Netral
279,bpjs sehat make sense sehat butuh manusia terus iur berat,Negatif
280,contoh kecil korona banget keluyur peduli sehat orang,Netral
281,kasih opini bpjs tau morat marit rada arah bangkrut rumah sakit bayar,Negatif
282,potong bpjs ketenagakerjaan bpjs sehat detail fungsi,Negatif
283,persis kayak bpjs sehat asal askesnya pns inti sih bijak salah,Negatif
284,tapera sempurna bapertarum pns sebenernya ama bpjs sehat,Netral
285,bpjs sehat oke cover sakit pake bpjs tk oke pensiun bp tapera,Negatif
286,udahan stalkingnya kasihan hati bpjs cmn jamin sehat asa,Netral
287,sih jkn kis serta bpjs sehat lancar jalan cuci darah nyata hadir,Netral
288,ngomong utama sehat lapang iur bpjs naik obat mahal beli nama peras,Negatif
289,kena phk daftar bpjs sehat mandiri daftar online,Netral
290,bpjs sehat perhati derita hipertensi diabetes covid,Netral
291,rezim bijak pakai nurani rakyat susah keppres naik bpjs sehat,Negatif
292,kaya biaya sehat murah rumah sakit bpjs subsidi negara,Netral
293,potong iur bpjs naker sehat pensiun gede berat,Negatif
294,jokowi teken pp tapera gaji kerja potong tabung rumah,Netral
295,tapera tipe bpjs sehat beda tuju papan sehat,Netral
296,menkeu akar defisit bpjs sehat,Netral
297,tapera bpjs tenaga kerja sehat persen dapat hasil persen hilang persen,Netral
298,rantau jakarta bikin bpjs sehat,Netral
299,bpjs sehat bpjs ketenagakerjaan bpjs tk pensiun tapera abis nih habis gaji,Negatif
300,potong ditambahin bonus coba potong gaji,Negatif
301,waras bpjs gitu sehat tapera gitu properti didik pangan nih duit perintah,Negatif
302,bpjs tk sehat tapera mayan gaji potong,Negatif
303,swasta gaji potong phk perintah naik tarif listrik naik tarif bpjs blt salah sasar,Negatif
304,potong slip gaji bpjs ketenagakerjaan bpjs jamin pensiun bpjs sehat tapera,Negatif
305,bpjs sehat jalan penuh carut marut muncul tapera wajib,Negatif
306,beban pikul blt listrik diskon bbm turun prakerja bpjs iur,Negatif
307,program nih dibikinin rumah gimana wajib kaya bpjs sehat,Netral
308,bpjs sehat tiket kereta api via paytren praktis mudah langsung hp untung,Netral
309,bpjs kita tau latar belakang terap bijak,Negatif
310,bayang hakiki turun kadang potong pajak hasil potong bpjs sehat,Negatif
311,bpjs sehat iya bpjs tk iya tambah iur gaji pas umr ancur,Negatif
312,serta jkn biaya perintah berat,Positif
313,bikin pp tapera ajar bpjs sehat,Negatif
314,udh potong pph bpjs tk jamin pensiun bpjs sehat utang kantor,Negatif
315,fasilitas serta turun kelas bpjs sehat panjang program super praktis berat,Positif
316,laksana hukum pakde bpjs sehat tetep,Negatif
317,hak rakyat tuk sehat peduli bpjs tetep cuman putus ptun,Negatif
318,bpjs sehat oke cover sakit pake bpjs tk oke pensiun bp tapera,Negatif
319,potong bpjs ketenagakerjaan sehat potong tapera peras kaya sapi perah,Negatif
320,konsep bang indonesia pungut iur bpjs ketenagakerjaan bpjs sehat habis gaji,Negatif
321,potong bpjs asuransi sehat tanggung perintah,Negatif
322,kasihan hamil suruh jam siang periksa kandung rsud kembang jakarta barat pake bpjs,Negatif
323,bpjs sehat bpjs tk pph tapera dasar sapi perah,Negatif
324,siang daftar autodebit iur bpjs sehat via apps mandiri online,Netral
325,presiden negara vonis lawan hukum karhutla naik tarif bpjs sehat,Negatif
326,iur tapera bpjs sehat naker tuju pajak bea cukai ppn,Positif
327,asuransi sehat maksud bpjs asuransi gantung asuransi,Negatif
328,harap cabut pres naik iur bpjs sehat perintah thr pahit masyarakat,Negatif
329,gin negara cari duit nutupin defisit saat pandemi orang hidup susah hilang hasil,Negatif
330,bpjs sehat bayar ama usaha enak sih goblok,Negatif
331,enam puluh persen serta mandiri bpjs sehat ancam bayar pasti ekonomi nyungsep,Negatif
332,bayar negara pph bpjs sehat ketenagakerjaan muncul tapera,Negatif
333,potong bpjs tenaga kerja potong bpjs sehat potong dana pensiun kerja sungguh berat,Negatif
334,kerja buruh alami potong iur bpjs sehat bpjs tenaga kerja susah,Negatif
335,aplikasi mobile jkn pandu layan milik bpjs sehat serta bpjs sehat care centre manfaat,Positif
336,tau layan pandu milik bpjs sehat serta langsung cek gambar,Netral
337,info layan pandu milik bpjs sehat serta biar penasaran,Netral
338,gratis bpjs rawan covid kota semarang,Netral
339,malam teman teman layan bpjs sehat ini layan pandu milik bpjs sehat mudah masyarakat,Positif
340,boneka rampok rakyat,Negatif
341,bpjs sehat sanksi tabung tapera sanksi gilir nyata lawan hukum hakim adil nyengir doang,Negatif
342,punten potong bpjs ketenagakerjaan sehat nambah koma persen rumah,Negatif
343,bener gaji mentok umr potong bpjs sehat tunjang tua potong,Negatif
344,bpjs kessehatan tapera dicairin umur ujur tapera nikmatin rumah,Negatif
345,nambah potong upah mah bpjs ketenagakerjaan bpjs pensiun bpjs sehat tapera,Negatif
346,salah kelola direksi tahan,Negatif
347,pajak paham negara butuh bangun pelihara itung zakat islam koma persen bpjs sehat tapera,Negatif
348,awat pasien covid klaim perintah hasil pcr positif hasil pcr periksa pakai dana rugi mahal,Negatif
349,pandu layan bpjs sehat tau pandu bpjs sehat,Netral
350,masuk jamin tua gambar persentase ragu,Negatif
351,gotong ria bpjs sehat sehat sakit pusat pemda negara masyarakat rakyat rugi,Negatif
352,mohon kirim nomer bpjs sehat karena kartu bpjs sehat hilang,Netral
353,lelucon bpjs tk seringkali ambil bpjs sehat skrg ambil hak rakyat,Negatif
354,potong wajib perintah indonesia rakyat bpjs sehat bpjs ketenagakerjaan pph tapera rugi,Negatif
355,warga tahun pake asuransi sehat pake kpr btn aman lancar rumah pake bpjs tolak rumah sakit,Negatif
356,baca pp wajib mas bpjs sehat gitu,Netral
357,kantor bpjs sehat buka,Netral
358,perintah bikin program serah paksa rakyat wajib bpjs sehat ketenagakerjaan,Negatif
359,nik istri sy online mohon bantu online daftar,Netral
360,pribadi nggak suka bijak tapera hitung hitung ngga gin hitung bikin orang ngga bayar premi bpjs sehat nggak tuju nggak disinformasi,Negatif
361,daftar tantang minggu ikutin tantang minggu tema vlognya tips makan sehat video makan sehat ide kreatif,Netral
362,ratus ribu bayar perlu bpjs sehat nombok bantuin masyarakat deh,Negatif
363,admin mohon cek dm kait info status bpjs sehat kerja alih mandiri,Netral
364,bpjs sehat chika vika bantu masyarakat,Positif
365,pecat karyawan biar karyawan sejahtera dapet bpjs sehat itu iur berat,Negatif
366,rumah duit pakai kelola bunga makan bpjs tenaga kerja bpjs sehat tapera rakyat objek derita,Negatif
367,kasi lo cape cape bayar asuransi sehat bpjs lu sakit minimal celaka,Negatif
368,sumbangsih pajak pabrik rokok ratus triliun dipake nalangin bpjs sumbangsih gede ngerusak sehat masyarakat hasil apa kelola duit,Negatif
369,potong pajak potong bpjs sehat potong bpjs pensiun potong tapera habis gaji,Negatif
370,kerja yuk ikut prosedur new normal jalan kerja cegah sebar covid mari lindung keluarga orang orang terap new normal,Netral
371,dasar hitung tentu gaji upah tetap program jamin sosial maksimal belas juta kaya bpjs sehat pakai,Negatif
372,fasilitas serta turun kelas bpjs sehat panjang program super praktis manfaat,Positif
373,gas bmm air beli negara perintah kelola harga bantu rakyat pandemi sehat kelola perintah ma kangkang rakyat korban tapera,Negatif
374,tagih negara bulan pph bpjs sehat ketenagakerjaan muncul tapera utang meres rakyat kntl,Negatif
375,paham bpjs wajib bayar kerja emang butuh sehat paham layan bpjs hancur,Negatif
376,pph bpjs sehat bpjs tk tapera cicil kpr habis gaji,Negatif
377,potong bpjs tenaga kerja bpjs sehat tapera,Negatif
378,mohon maaf ketidaknyamanannya masuk sesuai urut antri masuk sistem,Netral
379,awat pasien covid klaim perintah hasil pcr positif hasil pcr hasil negatif pasien tanggung bpjs sehat pasien serta bpjs sehat,Positif
380,layan tingkat alfian manfaat jkn kis,Positif
381,mobile jkn mudah komunikasi serta dokter,Positif
382,lelucon bpjs tk seringkali gabisa ambil bpjs sehat ambil hak rakyat,Negatif
383,selamat pagi kait adu saudara tindaklanjuti tim bpjs sehat cabang semarang bantu nomor kartu jkn serta nomor telepon saudara hubung terimakasih,Netral
384,bpjs sehat ketenagakerjaan muncul tapera berat,Negatif
385,potong wajib perintah indonesia rakyat bpjs sehat bpjs ketenagakerjaan pph tapera nilai berat masyarakat,Negatif
386,wakil anggota keluarga terima kasih,Netral
387,salam sehat avink daftar online aplikasi mobila jkn silah download aplikasi playstore terima kasih,Netral
388,gaji puluh juta gaji umk gimana standar umk kabupaten gunungkidul jogja koma tujuh juta potong bpjs sehat ketenagakerjaan potong tapera,Negatif
389,bpjs sehat anggep amal duit bener tahap ketimbang income,Netral
390,indah hidup negeri wakanda hasil kerja peras keringat terima gaji sunat perintah iur bpjs sehat keluarga pakai jht pph besar puluh persen,Negatif
391,potong bpjs tenaga kerja potong bpjs sehat potong dana pensiun kerja pph himpit tabung tapera dana haji embat,Negatif
392,habis gaji pegawai bpjs sehat bpjs jht bpjs pensiun pajak rumah,Negatif
393,harga minyak dunia turun turun harga bbm iur bpjs naik materi sehat susah rakyat temu,Negatif
394,nambah potong gaji bpjs ketenagakerjaan bpjs sehat,Negatif
395,salam sehat rekening bca autodebet bayar iur bpjs sehat,Netral
